Fecha,Total_Pago,Intereses,Amortizacion,Saldo_Pendiente
31/12/2025,129.57,129.57,0.0,127000.0
31/01/2026,814.92,207.43,607.49,126392.51
28/02/2026,814.92,206.44,608.48,125784.03
31/03/2026,814.92,205.45,609.47,125174.56
30/04/2026,814.92,204.45,610.47,124564.09
31/05/2026,814.92,203.45,611.47,123952.62
30/06/2026,814.92,202.46,612.46,123340.16
31/07/2026,814.92,201.46,613.46,122726.7
31/08/2026,814.92,200.45,614.47,122112.23
30/09/2026,814.92,199.45,615.47,121496.76
31/10/2026,814.92,198.44,616.48,120880.28
30/11/2026,814.92,197.44,617.48,120262.8
31/12/2026,814.92,196.43,618.49,119644.31
31/01/2027,870.76,295.12,575.64,119068.67
28/02/2027,870.76,293.7,577.06,118491.61
31/03/2027,870.76,292.28,578.48,117913.13
30/04/2027,870.76,290.85,579.91,117333.22
31/05/2027,870.76,289.42,581.34,116751.88
30/06/2027,870.76,287.99,582.77,116169.11
31/07/2027,870.76,286.55,584.21,115584.9
31/08/2027,870.76,285.11,585.65,114999.25
30/09/2027,870.76,283.66,587.1,114412.15
31/10/2027,870.76,282.22,588.54,113823.61
30/11/2027,870.76,280.76,590.0,113233.61
31/12/2027,870.76,279.31,591.45,112642.16
31/01/2028,870.76,277.85,592.91,112049.25
29/02/2028,870.76,276.39,594.37,111454.88
31/03/2028,870.76,274.92,595.84,110859.04
30/04/2028,870.76,273.45,597.31,110261.73
31/05/2028,870.76,271.98,598.78,109662.95
30/06/2028,870.76,270.5,600.26,109062.69
31/07/2028,870.76,269.02,601.74,108460.95
31/08/2028,870.76,267.54,603.22,107857.73
30/09/2028,870.76,266.05,604.71,107253.02
31/10/2028,870.76,264.56,606.2,106646.82
30/11/2028,870.76,263.06,607.7,106039.12
31/12/2028,870.76,261.56,609.2,105429.92
31/01/2029,870.76,260.06,610.7,104819.22
28/02/2029,870.76,258.55,612.21,104207.01
31/03/2029,870.76,257.04,613.72,103593.29
30/04/2029,870.76,255.53,615.23,102978.06
31/05/2029,870.76,254.01,616.75,102361.31
30/06/2029,870.76,252.49,618.27,101743.04
31/07/2029,870.76,250.97,619.79,101123.25
31/08/2029,870.76,249.44,621.32,100501.93
30/09/2029,870.76,247.9,622.86,99879.07
31/10/2029,870.76,246.37,624.39,99254.68
30/11/2029,870.76,244.83,625.93,98628.75
31/12/2029,870.76,243.28,627.48,98001.27
31/01/2030,870.76,241.74,629.02,97372.25
28/02/2030,870.76,240.18,630.58,96741.67
31/03/2030,870.76,238.63,632.13,96109.54
30/04/2030,870.76,237.07,633.69,95475.85
31/05/2030,870.76,235.51,635.25,94840.6
30/06/2030,870.76,233.94,636.82,94203.78
31/07/2030,870.76,232.37,638.39,93565.39
31/08/2030,870.76,230.79,639.97,92925.42
30/09/2030,870.76,229.22,641.54,92283.88
31/10/2030,870.76,227.63,643.13,91640.75
30/11/2030,870.76,226.05,644.71,90996.04
31/12/2030,870.76,224.46,646.3,90349.74
31/01/2031,870.76,222.86,647.9,89701.84
28/02/2031,870.76,221.26,649.5,89052.34
31/03/2031,870.76,219.66,651.1,88401.24
30/04/2031,870.76,218.06,652.7,87748.54
31/05/2031,870.76,216.45,654.31,87094.23
30/06/2031,870.76,214.83,655.93,86438.3
31/07/2031,870.76,213.21,657.55,85780.75
31/08/2031,870.76,211.59,659.17,85121.58
30/09/2031,870.76,209.97,660.79,84460.79
31/10/2031,870.76,208.34,662.42,83798.37
30/11/2031,870.76,206.7,664.06,83134.31
31/12/2031,870.76,205.06,665.7,82468.61
31/01/2032,870.76,203.42,667.34,81801.27
29/02/2032,870.76,201.78,668.98,81132.29
31/03/2032,870.76,200.13,670.63,80461.66
30/04/2032,870.76,198.47,672.29,79789.37
31/05/2032,870.76,196.81,673.95,79115.42
30/06/2032,870.76,195.15,675.61,78439.81
31/07/2032,870.76,193.48,677.28,77762.53
31/08/2032,870.76,191.81,678.95,77083.58
30/09/2032,870.76,190.14,680.62,76402.96
31/10/2032,870.76,188.46,682.3,75720.66
30/11/2032,870.76,186.78,683.98,75036.68
31/12/2032,870.76,185.09,685.67,74351.01
31/01/2033,870.76,183.4,687.36,73663.65
28/02/2033,870.76,181.7,689.06,72974.59
31/03/2033,870.76,180.0,690.76,72283.83
30/04/2033,870.76,178.3,692.46,71591.37
31/05/2033,870.76,176.59,694.17,70897.2
30/06/2033,870.76,174.88,695.88,70201.32
31/07/2033,870.76,173.16,697.6,69503.72
31/08/2033,870.76,171.44,699.32,68804.4
30/09/2033,870.76,169.72,701.04,68103.36
31/10/2033,870.76,167.99,702.77,67400.59
30/11/2033,870.76,166.25,704.51,66696.08
31/12/2033,870.76,164.52,706.24,65989.84
31/01/2034,870.76,162.77,707.99,65281.85
28/02/2034,870.76,161.03,709.73,64572.12
31/03/2034,870.76,159.28,711.48,63860.64
30/04/2034,870.76,157.52,713.24,63147.4
31/05/2034,870.76,155.76,715.0,62432.4
30/06/2034,870.76,154.0,716.76,61715.64
31/07/2034,870.76,152.23,718.53,60997.11
31/08/2034,870.76,150.46,720.3,60276.81
30/09/2034,870.76,148.68,722.08,59554.73
31/10/2034,870.76,146.9,723.86,58830.87
